namespace,key,text
,28E00C854FECE6D5CE4A9787874B10FA,+{0}
,5928234C41C3170F5D509AB3D5656EA9,"<b>Esteemed Artisan,</>

    I apologize for the preponderance of constraints I've laid upon your work. Many further rules are yet to come."
,123A22F54A5AFE0A9DFA108E44CF16C1,"<b>Great Artisan of Glimmith,</>

    The isle ahead houses the most difficult restorations of any. They are yours, should you wish to attempt them."
,0095BE8C47D48169B07AF4B39D432620,"<b>Great Artisan of Glimmith,</>

    Your skill shines through every pane of glass you've touched."
,84244F29484CC92310C9C2B83EABD75D,"<input axis=""Zoom"" scale=""0.1f""/> and <input axis=""Zoom"" scale=""-0.1f""/> to zoom."
,D6A87DC04690A6F675C7719C0C19D977,"Cells containing <input action=""PalisadeU""/> must always be dead ends. Cells containing <input action=""Palisade=""/> must always have two borders on opposite sides."
,3AC82B3D4E6217D5E47C71B5228EBBE6,Click and drag<br>to explore.
,7F1A9E8642D6D2AC5545F0886BA1A3B4,Controls
,C03AC1064793C975CBD5D482E78C7DB2,"Frame Rate is currently set to Unlimited with V-Sync disabled. This is not recommended, as the game will consume all available resources to generate as many frames as possible.


"
,2F2F2D1C421E5169EA774080EEE7B4AA,"Frame Rate is currently set to {currentFPS} with V-Sync disabled, but your monitor's refresh rate is only {refreshRate}. The game will consume additional resources to generate frames that cannot be displayed.


"
,C91510DD4B47D2467E9B839D4C00A4BC,"Hold <input action=""AreaCounter""/> to see the size of an area."
,7651B1FB4F86240E17DADB94EA45D6C2,"Hold <input action=""ControllerPrimaryClick""/> or <input action=""ControllerPrimaryClick"" mapping=""1""/> and drag to merge regions."
,AF5CCC024B67045021942180C4D85EF0,"Hold <input action=""SecondaryClick""/> or <input action=""SecondaryClick"" mapping=""1""/> and drag to erase."
,4ED871114F4FE6AD6D242B98F3949E50,Join our Discord
,C0C86A4F4F2271F5AC5A4E93BF4FF81A,Loopy grids can be shaded with 2 colors in alternating layers from the outside.
,F0B188AC47B63E5C4AC77F81D5E4EBBE,"Near the perimeter, cells must often be merged to prevent borders from forming a T-shape."
,C010CDF34FFA7F9A7593F88CC2E1473D,Perfected Windows
,E96437774226F265C56FC181F55BEF0C,"Press <input action=""OutlineRegion""/> to place metal borders around an entire shape. You can use this to mark regions that you are absolutely sure of."
,5386D6B240B03CA6479FD8B3C97C0AFA,"Switch colors quickly with <input action=""SelectPreviousColor""/> and <input action=""SelectNextColor""/>."
,89C0A52A408A0459A16FE58905DBD31A,The borders of a completed Loopy puzzle always look like a collection of loops.
,F20BA83845509F17EB945B980D25EECE,There are other places where cells must be merged to avoid making T-shapes with borders.
,45508C1A4F6B9D193BC67C805270B8DB,"Use <input action=""CycleInputModes""/> to switch to coloring, border-drawing, and note-taking modes."
,A613B17D4930BC94BC9410973376DFAB,"Use <input action=""Undo""/> to undo, <input action=""Redo""/> to redo, and <input action=""Restart""/> to restart."
,2E22CF1D47B4DCFE77FE2789292D8883,"Use <input axis=""Up"" scale=""-1.0f""/> to explore."
,86F8DCB04B5A4C7EAFD04AB629817813,"Using <input action=""OutlineRegion""/> to outline completed regions can help reveal contradictions."
,5652A46F4B2A2C43A739DCA77D753137,"Whenever adding a border between two cells would make a + shape, you can join those two cells immediately!"
,BA26AE6449AAD02F6A7C8A910C7A72BD,"You can press <input action=""FloodPaint""/> to flood an entire region with color."
Overworld_Campaign.BP_StainedGlassPlinth20,F260F0154AF4242DF567209524CA6F95,Shape Bank
Overworld_Campaign.BP_StainedGlassPlinth21,D79239C844857F9A8D24FBB1CB840B6E,Polyomino
Overworld_Campaign.BP_StainedGlassPlinth22,A25A7AC34235ECB32190268912BC74E1,Precision
Overworld_Campaign.BP_StainedGlassPlinth23,1A568BA94C0FC64435DD5FA80CEBB913,Mingle Shape
Overworld_Campaign.BP_StainedGlassPlinth24,BD6729454E2BB70A3CF50D81E04A5C21,Forest Trailhead
Overworld_Campaign.BP_StainedGlassPlinth26,CD5605F34F58F683DC57AA97862B2DA3,Bricky
Overworld_Campaign.BP_StainedGlassPlinth27,6C02689C47C66B23D15CD9A5CB27A61B,Inequality
Overworld_Campaign.BP_StainedGlassPlinth28,A6CA49934291E8EB677E68903608DED0,Loopy
Overworld_Campaign.BP_StainedGlassPlinth29,8A3046194C8C5C8D0C08B48A628F3720,Watchtower
Overworld_Campaign.BP_StainedGlassPlinth30,335E225F4CC2BD801B0A149F290D36D5,Difference
Overworld_Campaign.BP_StainedGlassPlinth31,24CB3FC94F8B13948E3106BED79120D4,Hedge Maze
Overworld_Campaign.BP_StainedGlassPlinth32,E994E7FC467D028784671DA18F3352F6,Compass
Overworld_Campaign.BP_StainedGlassPlinth34,E08673434800D5C5F7B753A8E99B22C5,Secluded Garden
Overworld_Campaign.BP_StainedGlassPlinth35,9A4A40344505D197AEF279A8EA3875B1,Spiral Island
Overworld_Campaign.BP_StainedGlassPlinth_1SPR,F8106164469DA6134B61FDB5AE63B840,Solitude
Overworld_Campaign.BP_StainedGlassPlinth_AllDiff,571E0FE04BE85933AFF4D7BC1859DC11,Mismatch
Overworld_Campaign.BP_StainedGlassPlinth_AllSame,9DD5EE9545AD9C35CC9B65AF76B14CAC,Match
Overworld_Campaign.BP_StainedGlassPlinth_AreaNumber,09DA53E44BAE24712B1F0B8B5DCE1E20,Area Number
Overworld_Campaign.BP_StainedGlassPlinth_Bridge,69D51BC4414A1E3F507BF08D650905DB,Glimmith Bridge
Overworld_Campaign.BP_StainedGlassPlinth_Gate,4E4D7A1C4FECBC71A8B3EF8820C5D3E5,Glimmith Overlook
Overworld_Campaign.BP_StainedGlassPlinth_GeminiDelta,075A9FF7469B13EFBEB41B98BB56845C,Gemini & Delta
Overworld_Campaign.BP_StainedGlassPlinth_MinMax,7D09C8B04C8EE29B66009489C44B3176,Range
Overworld_Campaign.BP_StainedGlassPlinth_NoRectangles,99FCEB314BCF0930E6B97BB73BF9F7B2,Non-Boxy
Overworld_Campaign.BP_StainedGlassPlinth_OnlyRectangles,E907EC9942C5F746002DF1B084040E2C,Boxy
Overworld_Campaign.BP_StainedGlassPlinth_Palisade,D0217FDF43003956E64F118635B4F913,Palisade
Overworld_Campaign.BP_StainedGlassPlinth_SameSizeCantTouch,A44918714541923C78DE0AA4343F5379,Size Separation
Overworld_Campaign.BP_StainedGlassPlinth_SlashPack,2A0F01724506385798F3F5A6CB19C556,Rose Windows
Overworld_Campaign.BP_StainedGlassPlinth_Zone2Mixed,F2B50AFF474DB97C0586F598A4B373F5,Castle Gates
Overworld_Campaign.Inequality_Tutorial_03,75C750A040B96778CE8B62B149BE3B0A,You may find the note-taking tool especially useful within these puzzles.
Overworld_Campaign.No3way_Tutorial_03,A7643CBB4BA22029E0A4B887BE3DBE9D,"Wherever borders make a T-shape, extend them to a cross with the edge-drawing tool."
Overworld_Campaign.No4way_PuzzleCube40,EF4647BA435EB21E04AC61BA3CE6666E,Using shift-click to outline completed regions can help reveal contradictions.
Overworld_Campaign.No4way_Tutorial_03,9D5A9206432C450EF22DD78ED07F531C,"This rule can also be stated as ""Borders must never make a + shape."""
Overworld_Campaign.No4way_Tutorial_06,617A6F134C7DA963420F288FC83490BF,"Look out! If the corner of a region touches another corner, it will cause 4 borders to meet!"
Overworld_Campaign.Palisade_Tutorial_05,995526214732CC526D9CC08FD6016164,"Remember: a single region can never touch both sides of a border. This means that ""dangling border ends"" are forbidden."
Overworld_Campaign.Palisade_Tutorial_07,2EBC3E414D559D650EA826B0485E85D2,"In these puzzles, you may find it very helpful to use edge-drawing mode to mark borders you are absolutely sure of."
Overworld_Campaign.PolyPuzzleCube23,4088F75E428F481175BD11B965DBC4D5,You don't need to place whole shapes at once. It can be useful to color an incomplete part of a shape.
Overworld_Campaign.PuzzleCube51,82F6CED145BA5A27B1B4B09605CA87EE,"On larger puzzles, guessing can get you into big trouble! Only color shapes that you know for sure."
Overworld_Campaign.PuzzleCube55,A14C42A349CB7515D8D18E868FBA0D4A,"The second law of puzzling: Whenever you find a pair of cells that *cannot* be connected, draw a border between them!"
Overworld_Campaign.PuzzleCube63,CDBA400B4DE6A3A92566B189B41DBE91,"The first law of puzzling: Whenever you find a pair of cells that *must* be connected, join them together!"
Overworld_Campaign.PuzzleCube_01,0AA137B1414B025275F5A2A55B0A7BFD,Click and drag to merge regions.
Overworld_Campaign.PuzzleCube_01B,0735BF81412FDCBC8356F09C42FB2E72,Right-click and drag to erase.
