namespace,key,text
,5928234C41C3170F5D509AB3D5656EA9,"<b>존경하는 복원의 장인께,</>

    제가 그대의 작업에 지나친 제한을 둔 것은 아닌지 염려되는군요. 허나 앞으로 그대가 마주할 규칙은 아직도 많습니다."
,123A22F54A5AFE0A9DFA108E44CF16C1,"<b>영예로운 글리미스의 장인께,</>

    앞에 놓인 섬에는 그 어느 것과도 견줄 수 없는 험난한 복원의 과업이 기다리고 있습니다. 그대에게 뜻이 있다면 그 모든 도전과 영광이 그대의 몫이 될 것입니다."
,0095BE8C47D48169B07AF4B39D432620,"<b>영예로운 글리미스의 장인께,</>

    그대의 손길이 닿은 모든 유리 한 장, 한 장에서 그대의 솜씨가 빛나고 있습니다."
,84244F29484CC92310C9C2B83EABD75D,"<input axis=""Zoom"" scale=""0.1f""/> 및 <input axis=""Zoom"" scale=""-0.1f""/> 로 확대/축소합니다."
,D6A87DC04690A6F675C7719C0C19D977,"<input action=""PalisadeU""/> 이 포함된 셀은 항상 막다른 길이어야 합니다. <input action=""Palisade=""/> 이 포함된 셀은 항상 반대쪽에 두 개의 경계가 있어야 합니다."
,3AC82B3D4E6217D5E47C71B5228EBBE6,클릭 및 드래그로<br>탐색
,7F1A9E8642D6D2AC5545F0886BA1A3B4,조작법
,C03AC1064793C975CBD5D482E78C7DB2,프레임 속도가 현재 무제한으로 설정되어 있고 V-Sync가 비활성화되어 있습니다. 이는 권장되지 않습니다. 게임이 가능한 한 많은 프레임을 생성하기 위해 모든 사용 가능한 리소스를 소모하기 때문입니다.
,2F2F2D1C421E5169EA774080EEE7B4AA,"프레임 속도가 현재 {currentFPS}로 설정되어 있고 V-Sync가 비활성화되어 있지만, 모니터의 새로 고침 속도는 {refreshRate}뿐입니다. 게임이 표시할 수 없는 프레임을 생성하기 위해 추가 리소스를 소모합니다."
,C91510DD4B47D2467E9B839D4C00A4BC,"영역의 크기를 보려면 <input action=""AreaCounter""/> 를 길게 누르세요."
,7651B1FB4F86240E17DADB94EA45D6C2,"<input action=""ControllerPrimaryClick""/> 를 길게 누른 채로 드래그하여 영역을 병합하세요."
,AF5CCC024B67045021942180C4D85EF0,"<input action=""SecondaryClick""/> 를 길게 누른 채로 드래그하여 지우세요."
,4ED871114F4FE6AD6D242B98F3949E50,Discord 참여하기
,C0C86A4F4F2271F5AC5A4E93BF4FF81A,질긴 고리 그리드는 바깥쪽에서부터 2가지 색상으로 번갈아 가며 층을 채울 수 있습니다.
